Ж,1978-06-21,65
М,2002-09-17,85
Ж,1992-05-06,59
М,1986-11-21,86
Ж,1926-10-21,63
Ж,1987-01-18,61
М,1997-06-29,86
М,1942-08-04,60
Ж,1991-12-08,68
М,1992-06-15,61
Ж,1979-08-04,93
Ж,1978-04-28,50
М,1976-01-11,93
Ж,2010-04-17,91
М,2012-03-03,91
Ж,1925-03-06,87
М,1998-07-05,77
Ж,1950-02-01,73
М,1986-04-20,52
Ж,2013-08-28,64
М,2008-11-01,92
Ж,1939-05-29,61
М,1978-10-07,54
Ж,2009-02-03,75
Ж,1954-12-17,86
М,1974-06-26,54
М,1972-12-16,69
Ж,1952-10-10,70
М,1993-10-14,59
М,1949-02-13,54
М,1955-07-15,55
М,1951-11-13,95
М,1930-08-14,52
Ж,1989-07-31,59
Ж,2002-09-02,98
Ж,1993-05-05,78
М,1987-10-21,92
М,1932-09-27,58
Ж,1933-04-28,99
Ж,1969-07-24,73
М,1967-08-29,76
Ж,1928-06-06,92
М,2003-07-11,88
М,1982-06-01,79
Ж,1995-11-25,60
Ж,1997-09-25,79
Ж,1949-11-30,56
Ж,1968-06-20,50
Ж,1970-02-08,56
Ж,1960-12-12,70
М,1931-07-24,90
Ж,1958-08-16,89
Ж,1965-09-11,53
М,1938-08-02,89
Ж,1967-01-21,61
М,1963-09-19,52
М,1941-07-20,60
Ж,1946-04-11,53
Ж,1950-04-07,100
М,1935-06-13,98
Ж,1981-03-18,80
М,1959-02-26,75
М,1937-05-13,67
Ж,2012-12-26,50
Ж,1945-11-05,75
Ж,1961-02-18,75
М,1990-11-24,67
М,1994-08-12,50
Ж,1961-09-20,88
М,1928-11-24,77
М,1985-12-16,79
Ж,1950-04-28,56
Ж,2011-11-08,84
Ж,1958-03-13,58
Ж,2010-10-17,96
М,1934-02-20,86
М,1998-04-19,99
Ж,2009-11-28,92
Ж,1957-01-13,91
М,2005-03-03,99
М,2008-09-02,69
Ж,1947-12-03,65
М,1923-03-28,88
М,2013-12-22,96
Ж,1973-03-17,77
М,1975-05-17,84
М,2002-12-18,67
Ж,1965-11-17,71
Ж,2005-12-10,67
Ж,1996-01-12,69
Ж,1949-12-23,89
Ж,1928-11-03,84
Ж,1972-03-11,96
М,1949-08-25,91
Ж,1928-09-16,90
Ж,1989-08-19,94
М,1985-04-06,68
М,1925-07-24,51
Ж,2014-09-11,60
М,1983-11-27,83
М,1984-09-07,91
М,1981-01-02,62
Ж,1993-03-22,86
Ж,1923-10-29,85
Ж,1996-05-11,89
Ж,1931-10-25,85
Ж,2001-05-01,68
Ж,1945-01-07,69
М,1993-07-11,84
Ж,1948-12-21,72
М,2013-06-23,90
Ж,1986-12-06,55
Ж,1973-05-27,88
М,1990-05-22,64
Ж,2002-01-01,81
Ж,1925-10-05,93
Ж,1993-03-04,50
Ж,2010-12-18,100
М,1942-02-18,89
М,1966-06-29,88
М,2003-09-11,64
М,2009-08-23,69
Ж,1928-09-24,52
Ж,1939-05-21,96
Ж,1941-03-19,50
М,2000-08-21,91
М,1980-06-04,88
М,1924-01-28,96
Ж,2000-04-07,89
Ж,1954-12-16,55
М,1985-02-26,67
М,2005-06-15,51
Ж,1981-08-18,50
Ж,2010-09-03,79
М,1938-04-22,60
М,1976-01-15,91
Ж,1998-07-07,95
Ж,1935-08-31,100
М,1952-03-01,96
Ж,1974-02-04,76
Ж,1996-11-11,77
Ж,1961-12-27,91
М,1962-12-28,68
М,2013-04-27,63
М,2003-10-23,77
Ж,1991-07-24,60
Ж,1977-01-17,50
М,1934-08-05,84
Ж,1945-03-12,57
Ж,1943-12-08,90
М,2002-01-06,84
М,1966-03-17,78
М,1961-04-29,86
М,1981-06-08,52
М,1976-02-08,58
Ж,1980-08-11,97
М,1925-09-27,56
Ж,1965-01-29,62
М,1928-10-12,62
Ж,2001-06-11,83
М,2009-03-20,83
Ж,2014-02-02,87
М,1985-06-17,84
М,1935-01-19,64
М,1934-05-11,95
Ж,1963-10-09,55
М,1984-07-19,67
Ж,1947-04-14,98
М,1974-04-04,77
Ж,1991-10-21,58
М,1982-12-05,93
М,2014-05-15,54
Ж,1995-04-15,70
М,1933-02-03,95
Ж,1954-02-11,96
Ж,2011-01-08,80
М,1948-12-19,77
Ж,1991-02-13,77
М,2004-04-12,66
М,1976-01-21,93
М,2001-09-12,59
Ж,1944-11-04,67
Ж,2007-03-16,91
Ж,1933-04-13,71
М,1961-10-29,59
Ж,1929-07-12,86
Ж,1931-08-07,64
Ж,1970-10-18,76
Ж,1999-08-26,54
М,1980-08-19,74
Ж,1956-08-10,70
Ж,2012-06-23,100
М,1978-04-26,87
Ж,2006-01-26,96
М,1974-02-18,59
М,1971-10-18,78
М,1932-02-22,90
Ж,1939-11-26,69
Ж,1956-04-04,76
Ж,1924-09-14,69
Ж,1941-07-29,63
М,1932-03-08,66
Ж,1949-07-27,78
М,1965-03-27,50
Ж,1928-03-23,88
Ж,1949-03-04,92
М,2001-08-12,100
Ж,1948-06-01,72
М,1958-11-12,88
М,1985-10-24,74
М,1930-03-02,93
М,1966-12-30,78
М,2014-04-20,81
М,1958-03-28,100
Ж,2011-02-03,91
М,1935-08-25,67
М,1934-08-25,80
Ж,1994-08-27,78
М,2006-03-02,50
Ж,1992-08-27,77
Ж,1960-06-05,56
М,1940-01-19,78
М,2001-01-24,69
Ж,1939-10-27,62
Ж,1995-06-30,100
М,1959-08-13,54
Ж,1988-08-04,83
Ж,1924-12-30,90
М,2009-09-23,86
М,1998-06-23,68
Ж,2002-06-08,69
Ж,1973-01-29,54
М,1956-03-25,72
Ж,2005-12-02,57
М,1953-08-28,80
М,2006-03-16,55
Ж,1959-12-18,61
Ж,1991-03-27,64
М,1949-03-24,65
Ж,2007-05-05,65
М,1951-04-03,68
М,2001-11-30,94
Ж,1946-01-20,83
Ж,1936-02-01,75
Ж,1961-06-12,62
М,1988-04-27,98
Ж,1959-03-13,71
М,1989-07-03,70
Ж,1984-04-21,88
М,1998-05-06,79
М,1941-07-18,90
М,2007-04-17,87
Ж,1998-10-30,93
Ж,1947-07-30,73
М,1929-11-09,63
Ж,1966-09-17,80
Ж,1933-03-08,67
Ж,1965-12-05,79
М,1947-10-26,56
М,1973-03-21,60
М,1974-10-26,83
Ж,2004-11-14,91
Ж,1988-11-21,88
Ж,1987-04-01,76
Ж,1981-10-02,93
Ж,1990-02-24,72
М,1937-07-01,67
Ж,1965-07-19,76
Ж,1986-07-16,56
М,1972-10-28,84
М,1975-08-27,86
Ж,1932-02-05,76
М,1947-11-02,71
Ж,1927-07-23,73
М,2008-10-24,100
Ж,2002-05-01,78
М,1973-06-20,63
Ж,1966-07-04,84
М,1977-09-01,82
М,1932-12-23,89
М,1924-07-29,53
М,1931-01-13,51
Ж,1964-11-01,66
М,2009-05-12,85
М,2004-01-11,63
Ж,1962-09-05,78
М,1957-07-20,82
Ж,1945-09-10,52
Ж,1965-12-18,52
М,1964-04-06,88
М,1923-10-04,64
М,2013-12-15,86
М,1934-07-29,72
Ж,1932-12-24,96
М,1925-05-07,55
М,1951-07-08,96
Ж,1986-10-05,75
Ж,1987-11-17,83
Ж,1984-09-21,76
М,2013-05-22,62
Ж,1960-06-23,77
М,2001-11-28,62
М,1969-04-06,62
Ж,1994-01-12,64
М,2007-08-27,90
Ж,1929-04-22,83
М,1961-03-20,67
М,1930-09-29,80
М,2005-05-15,99
М,1982-09-23,86
М,1978-12-14,67
Ж,2004-12-17,68
Ж,1932-11-15,68
М,1931-06-11,81
Ж,1978-05-20,60
Ж,1948-09-09,79
Ж,2013-03-19,90
Ж,2003-12-28,60
М,1965-07-01,88
М,1993-09-11,60
Ж,1983-02-27,88
Ж,1984-04-30,96
М,1966-10-18,53
Ж,2006-03-04,72
Ж,1968-10-22,92
М,1930-12-14,70
Ж,2006-10-02,86
Ж,1954-09-14,60
Ж,1986-02-09,99
М,1929-02-09,69
М,1972-05-12,54
Ж,1998-01-05,74
М,1964-07-12,89
М,1985-03-09,52
М,1977-08-04,80
М,1980-02-05,79
Ж,1994-07-06,77
М,2010-06-19,64
Ж,1940-04-19,51
Ж,1962-06-17,95
М,2002-01-25,82
Ж,1944-11-16,64
Ж,1995-07-16,88
Ж,1978-06-15,87
М,1936-08-27,60
М,1939-09-16,59
Ж,1969-08-13,62
Ж,2009-03-03,68
М,1926-07-11,83
М,1954-01-16,60
Ж,1994-04-17,89
Ж,1968-05-10,67
Ж,1977-01-23,81
М,1990-08-02,50
Ж,1932-04-10,73
Ж,1946-09-19,71
М,1967-05-10,55
М,1968-01-28,68
Ж,1977-07-23,66
Ж,1956-06-10,99
М,1947-10-15,66
Ж,1970-11-10,63
М,1996-03-16,89
М,2009-07-25,62
Ж,1966-04-06,60
М,1975-01-18,58
М,1973-08-05,95
Ж,1931-11-16,87
М,1978-02-07,58
Ж,1951-11-18,57
М,1954-08-01,66
М,1934-09-08,74
М,1956-07-03,92
Ж,1959-07-01,77
Ж,1943-02-20,58
М,1938-08-20,76
М,1951-04-04,93
Ж,1933-04-17,55
Ж,1984-07-19,58
М,1938-10-29,100
Ж,1929-06-15,76
М,1974-04-13,69
М,1971-10-24,71
М,2003-12-09,71
М,1936-01-12,52
Ж,1993-03-18,82
Ж,1965-05-15,56
М,1936-05-22,69
Ж,1940-06-04,89
М,1942-11-30,76
М,1931-04-20,56
Ж,1931-09-06,82
Ж,1945-04-19,85
М,1937-04-13,98
Ж,1989-12-02,92
Ж,1923-02-19,73
М,1984-09-27,84
Ж,1983-04-03,68
Ж,1997-08-20,82
Ж,2007-12-10,94
М,1980-06-07,53
Ж,1930-12-07,90
Ж,1936-01-04,87
Ж,2012-06-06,99
М,1952-11-03,86
М,1936-05-10,85
Ж,1990-05-16,73
Ж,1979-12-22,78
Ж,1932-03-03,76
Ж,2000-03-25,53
Ж,1973-06-25,98
Ж,2006-08-20,70
Ж,1980-04-09,66
М,1959-02-25,88
Ж,1950-05-26,100
Ж,1928-04-30,82
Ж,1938-02-19,59
М,1951-11-16,51
Ж,1967-09-03,90
Ж,1961-11-15,97
М,2001-10-08,93
Ж,1956-10-16,66
М,1944-10-25,70
Ж,1932-09-20,61
Ж,1974-04-02,63
М,1980-05-22,83
Ж,1963-01-22,94
М,1990-01-31,87
М,2002-12-08,68
Ж,1969-06-25,69
Ж,1988-06-22,67
Ж,2009-10-15,70
М,1991-10-20,80
М,1928-06-25,88
Ж,1965-10-30,56
Ж,1941-07-13,98
Ж,1937-08-10,76
Ж,1987-09-01,89
М,2001-05-24,67
Ж,2008-09-08,75
М,2005-03-26,73
М,1976-09-06,68
М,1993-07-14,88
М,1935-02-24,76
М,1975-02-26,70
Ж,1967-07-10,92
Ж,1951-10-15,95
М,1990-06-24,79
М,1935-05-02,91
М,2006-08-28,72
М,1933-12-15,85
Ж,2002-09-21,75
Ж,1966-06-06,95
Ж,1996-02-27,72
Ж,1998-08-21,72
Ж,1983-06-26,69
М,1935-08-25,86
Ж,1946-05-29,87
Ж,1991-07-08,72
М,1933-04-12,79
М,1939-05-24,90
М,1983-05-09,87
М,1990-12-30,97
Ж,1969-08-16,86
Ж,1951-09-05,90
Ж,1924-05-18,88
Ж,1981-03-03,95
М,1955-02-16,51
Ж,1962-08-04,66
Ж,1998-09-28,77
Ж,2008-01-30,83
М,2011-08-10,79
М,1986-03-17,56
Ж,1933-01-24,66
М,1993-02-27,90
Ж,1958-07-14,65
М,2010-01-03,83
М,2003-01-31,74
Ж,1993-10-13,51
М,1970-06-06,57
М,1942-07-11,94
Ж,1980-10-07,93
Ж,1961-03-27,73
Ж,1922-12-09,84
Ж,1987-03-18,74
М,1967-04-28,72
Ж,1999-08-14,98
Ж,1970-08-30,55
Ж,1943-12-10,98
М,2006-01-11,70
М,1945-07-21,76
Ж,1935-04-27,97
М,1971-12-26,73
Ж,1946-01-14,74
М,1980-07-29,98
Ж,1926-05-22,99
М,1993-12-26,75
М,1979-01-05,74
